;Height;Floors;End Use;Envelope;id;Name;ExtWallCoeff;VolCoeff;Cooling System;Heating System;Simulate;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Nm3];January electric consumption [Wh];January oil consumption [L];January wood consumption [kg];January Heating Demand [Wh];January Cooling Demand [Wh];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];February Heating Demand [Wh];February Cooling Demand [Wh];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];March Heating Demand [Wh];March Cooling Demand [Wh];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];April Heating Demand [Wh];April Cooling Demand [Wh];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];May Heating Demand [Wh];May Cooling Demand [Wh];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];June Heating Demand [Wh];June Cooling Demand [Wh];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];July Heating Demand [Wh];July Cooling Demand [Wh];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];August Heating Demand [Wh];August Cooling Demand [Wh];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];September Heating Demand [Wh];September Cooling Demand [Wh];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];October Heating Demand [Wh];October Cooling Demand [Wh];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];November Heating Demand [Wh];November Cooling Demand [Wh];December gas consumption [Nm3];December electric consumption [Wh];December oil consumption [L];December wood consumption [kg];December Heating Demand [Wh];December Cooling Demand [Wh];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [Wh];Total Cooling Demand [Wh]
1501948;11.223333333333336;3;worship;1945-1960;1501948;Bd1501948;1.0;1.0;IdealLoad;IdealLoad;True;117149.43727610663;31314.075897979194;407;40225.54151549733;7519.596344445902;1844.5905736384218;-2654.79533369734;0.0;355328334.59258544;0.0;0.0;5160388772.96722;0.0;0.0;320941721.56749654;0.0;0.0;4376385332.870402;0.0;0.0;355328334.59258544;0.0;0.0;3937404162.1104636;0.0;0.0;343866130.2508891;0.0;0.0;1310429798.7517636;-606963.0368988412;0.0;355328334.59258544;0.0;0.0;79263577.49276464;0.0;0.0;343866130.2508891;0.0;0.0;1486404513.2500362;-2020996475.0857096;0.0;355328334.59258544;0.0;0.0;1415905032.864641;-2804076530.689649;0.0;355328334.59258544;0.0;0.0;1577246598.084869;-3011420534.5952015;0.0;343866130.2508891;0.0;0.0;1455293491.4710438;-1609117463.643886;0.0;355328334.59258544;0.0;0.0;1399125607.8309164;0.0;0.0;343866130.2508891;0.0;0.0;3325366977.177583;0.0;0.0;355328334.59258544;0.0;0.0;4835602552.126311;0.0;0.0;4183704584.719152;0.0;0.0;30358816416.998016;-9446217967.051346
1729336;9.045454545454547;2;residential;Before 1930;1729336;Bd1729336;1.0;1.0;IdealLoad;IdealLoad;True;31797.351363197624;7030.57015065676;91;23521.561700846323;3039.7356563179023;1128.2200921344843;-249.4853625223207;0.0;3639726.1669950048;0.0;0.0;495499345.5790269;0.0;0.0;3287494.602447101;0.0;0.0;410534969.5948402;0.0;0.0;3639726.1669950048;0.0;0.0;315925939.7631371;0.0;0.0;3522315.645479037;0.0;0.0;98120020.99066056;0.0;0.0;3639726.1669950048;0.0;0.0;12434043.554517165;0.0;0.0;3522315.645479037;0.0;0.0;12032945.375339191;-47720710.75430276;0.0;3639726.1669950048;0.0;0.0;12434043.554517165;-77469183.56258214;0.0;3639726.1669950048;0.0;0.0;12434043.554517165;-54978321.67889616;0.0;3522315.645479037;0.0;0.0;12032945.375339191;-31147985.003449306;0.0;3639726.1669950048;0.0;0.0;115591272.73661806;0.0;0.0;3522315.645479037;0.0;0.0;309375696.101287;0.0;0.0;3639726.1669950048;0.0;0.0;457059123.7185447;0.0;0.0;42854840.35332829;0.0;0.0;2263474389.898344;-211316200.99923038
1775846;6.7;1;worship;Before 1930;1775846;Bd1775846;1.0;1.0;IdealLoad;IdealLoad;True;15805.151210435379;2358.9777926022953;31;13650.152333214663;1366.7016811704411;527.5606334936044;-260.8899633832329;0.0;26767887.16732847;0.0;0.0;550506732.0456498;0.0;0.0;24177446.473716035;0.0;0.0;463698938.2614343;0.0;0.0;26767887.16732847;0.0;0.0;398877010.4551923;0.0;0.0;25904406.936124325;0.0;0.0;129601805.01295105;-15644.97056658973;0.0;26767887.16732847;0.0;0.0;5971149.1942736665;0.0;0.0;25904406.936124325;0.0;0.0;111975050.74090143;-158101925.20296952;0.0;26767887.16732847;0.0;0.0;106664125.73832516;-228614685.46847486;0.0;26767887.16732847;0.0;0.0;118818441.59992702;-233894819.28449634;0.0;25904406.936124325;0.0;0.0;109631369.58866455;-118215944.57631049;0.0;26767887.16732847;0.0;0.0;141884140.2994566;0.0;0.0;25904406.936124325;0.0;0.0;353426535.82963616;0.0;0.0;26767887.16732847;0.0;0.0;513986375.6558329;0.0;0.0;315170284.38951266;0.0;0.0;3005041674.422245;-738843019.5028179
1775847;8.608333333333334;2;worship;Before 1930;1775847;Bd1775847;1.0;1.0;IdealLoad;IdealLoad;True;36834.33304959056;8557.831492644465;111;26356.501027207283;2982.631724511096;1045.6076470548237;-762.1611789869992;0.0;97107767.82659498;0.0;0.0;1631942639.6931226;0.0;0.0;87710241.90789224;0.0;0.0;1379013021.921033;0.0;0.0;97107767.82659498;0.0;0.0;1218619359.8985057;0.0;0.0;93975259.1870274;0.0;0.0;402966749.0274494;-127153.84202156591;0.0;97107767.82659498;0.0;0.0;21661962.559496153;0.0;0.0;93975259.1870274;0.0;0.0;406219854.4751217;-558424052.208569;0.0;97107767.82659498;0.0;0.0;386953034.16649044;-791401344.3546488;0.0;97107767.82659498;0.0;0.0;431046110.14972013;-834171281.8136019;0.0;93975259.1870274;0.0;0.0;397717515.6925236;-429741965.5533885;0.0;97107767.82659498;0.0;0.0;435098666.69468296;0.0;0.0;93975259.1870274;0.0;0.0;1053190482.6260748;0.0;0.0;97107767.82659498;0.0;0.0;1527069327.8810894;0.0;0.0;1143365653.4421666;0.0;0.0;9291498724.78531;-2613865797.7722297
1776447;7.0;2;worship;1961-1970;1776447;Bd1776447;1.0;1.0;IdealLoad;IdealLoad;True;13413.78105486757;3832.5088728193055;50;7388.485745348695;1482.3933294501774;321.83802256813226;-344.3000139298317;0.0;43488397.98201013;0.0;0.0;668055320.126914;0.0;0.0;39279843.3385898;0.0;0.0;565449237.1321235;0.0;0.0;43488397.98201013;0.0;0.0;505189435.745004;0.0;0.0;42085546.43420336;0.0;0.0;167554326.93255135;-72441.46887754218;0.0;43488397.98201013;0.0;0.0;9701016.40623618;0.0;0.0;42085546.43420336;0.0;0.0;181920057.4268599;-249738033.01549357;0.0;43488397.98201013;0.0;0.0;173291673.02278382;-349614673.3343526;0.0;43488397.98201013;0.0;0.0;193038159.62758195;-372809349.3068355;0.0;42085546.43420336;0.0;0.0;178112400.21229213;-196329010.81075987;0.0;43488397.98201013;0.0;0.0;179450122.93764666;0.0;0.0;42085546.43420336;0.0;0.0;431277775.90477246;0.0;0.0;43488397.98201013;0.0;0.0;625849603.8750094;0.0;0.0;512040814.9494742;0.0;0.0;3878889129.3497753;-1168563507.936319
1781415;19.04;5;residential;Before 1930;1781415;Bd1781415;1.0;1.0;IdealLoad;IdealLoad;True;17615.764745867313;4625.9886412466685;60;12944.28572132575;2930.0998030984606;662.7155690926812;-160.11950958617376;0.0;2394874.3195734;0.0;0.0;289962651.4933542;0.0;0.0;2163112.288646942;0.0;0.0;239896653.40879697;0.0;0.0;2394874.3195734;0.0;0.0;181668882.83748463;0.0;0.0;2317620.3092645807;0.0;0.0;55812941.77748668;0.0;0.0;2394874.3195734;0.0;0.0;8186578.07361775;0.0;0.0;2317620.3092645807;0.0;0.0;7922494.909952661;-27855726.05672662;0.0;2394874.3195734;0.0;0.0;8186578.07361775;-51483255.43280544;0.0;2394874.3195734;0.0;0.0;8186578.07361775;-34458579.39132493;0.0;2317620.3092645807;0.0;0.0;7922494.909952661;-15053151.237863008;0.0;2394874.3195734;0.0;0.0;66417799.446160324;0.0;0.0;2317620.3092645807;0.0;0.0;179625954.99817848;0.0;0.0;2394874.3195734;0.0;0.0;267138929.80201682;0.0;0.0;28197713.762719065;0.0;0.0;1320928537.8042367;-128850712.11872
2432709;11.62692307692308;3;university;Before 1930;2432709;Bd2432709;1.0;1.0;IdealLoad;IdealLoad;True;57136.16614089355;14742.378296360224;191;35758.2033194225;5156.639632083673;1472.5728112761844;-342.4986846669886;0.0;19053522.173955597;0.0;0.0;854273111.4580135;0.0;0.0;18067354.011808775;0.0;0.0;709953595.5182239;0.0;0.0;20038313.044152457;0.0;0.0;562920414.5596917;0.0;0.0;19217194.88833842;0.0;0.0;167759832.5868599;0.0;0.0;20161411.902927067;0.0;0.0;4464893.870506059;0.0;0.0;18601700.594465382;0.0;0.0;63585738.867751576;-105461390.1095211;0.0;19915214.18537785;0.0;0.0;58230592.92243149;-177301302.63895094;0.0;20161411.902927067;0.0;0.0;66455413.3098019;-142914801.95870438;0.0;19094096.029563814;0.0;0.0;65528249.0936021;-72997967.52111249;0.0;20161411.902927067;0.0;0.0;195960627.73953816;0.0;0.0;19463392.605887637;0.0;0.0;532671071.20505834;0.0;0.0;19792115.32660324;0.0;0.0;789801457.1752526;0.0;0.0;233727138.56893438;0.0;0.0;4071604998.3067307;-498675462.2282889
2558890;14.1;4;worship;Before 1930;2558890;Bd2558890;1.0;1.0;IdealLoad;IdealLoad;True;87588.56507995658;24847.819880838746;323;47644.62447539475;7288.913407488535;2004.311393893598;-2482.4201599147113;0.0;281954175.6646486;0.0;0.0;4319048763.326581;0.0;0.0;254668287.69710198;0.0;0.0;3657862693.383406;0.0;0.0;281954175.6646486;0.0;0.0;3269935796.803903;0.0;0.0;272858879.6754664;0.0;0.0;1085016109.829461;-512561.81100689515;0.0;281954175.6646486;0.0;0.0;62895903.524913535;0.0;0.0;272858879.6754664;0.0;0.0;1179466759.1543443;-1623186560.9048982;0.0;281954175.6646486;0.0;0.0;1123525194.8553936;-2267636873.9697804;0.0;281954175.6646486;0.0;0.0;1251550245.4730787;-2416309920.8391953;0.0;272858879.6754664;0.0;0.0;1154780063.3696177;-1272659317.1672862;0.0;281954175.6646486;0.0;0.0;1162189477.317931;0.0;0.0;272858879.6754664;0.0;0.0;2789862371.0312963;0.0;0.0;281954175.6646486;0.0;0.0;4046601338.102983;0.0;0.0;3319783036.051508;0.0;0.0;25102734716.17291;-7580305234.692165
2558892;7.685714285714286;2;worship;Before 1930;2558892;Bd2558892;1.0;1.0;IdealLoad;IdealLoad;True;42185.81962927077;10977.722580107635;143;34404.26785601101;4013.6771825957117;1354.0477628278954;-976.3722150769539;0.0;124566852.76990056;0.0;0.0;2096209522.942413;0.0;0.0;112511996.05023277;0.0;0.0;1771606779.3399577;0.0;0.0;124566852.76990056;0.0;0.0;1564211942.4704611;0.0;0.0;120548567.19667795;0.0;0.0;516833540.79854834;-161993.33498210288;0.0;124566852.76990056;0.0;0.0;27787298.186838284;0.0;0.0;120548567.19667795;0.0;0.0;521086314.0729576;-719152601.6524928;0.0;124566852.76990056;0.0;0.0;496371430.57347184;-1018878551.3139101;0.0;124566852.76990056;0.0;0.0;552932669.9789848;-1072318470.1464018;0.0;120548567.19667795;0.0;0.0;510179775.83161974;-551747900.5571;0.0;124566852.76990056;0.0;0.0;558815700.1002816;0.0;0.0;120548567.19667795;0.0;0.0;1352666888.8213975;0.0;0.0;124566852.76990056;0.0;0.0;1961376383.7552605;0.0;0.0;1466674234.2262485;0.0;0.0;11930078246.87219;-3362259517.0048866
2559057;6.875;1;university;Before 1930;2559057;Bd2559057;1.0;1.0;IdealLoad;IdealLoad;True;18979.373300135947;2760.6361163834104;36;15741.314369276222;1525.9127531438342;608.6333147289916;-96.8070987691636;0.0;3567934.5896801776;0.0;0.0;286896972.24930304;0.0;0.0;3383266.187437229;0.0;0.0;238061806.83026263;0.0;0.0;3752345.0822545895;0.0;0.0;184639362.80901816;0.0;0.0;3598583.7018864006;0.0;0.0;53757695.15220715;0.0;0.0;3775396.3938263906;0.0;0.0;836089.4712477375;0.0;0.0;3483327.1440273933;0.0;0.0;11908812.359046157;-28410918.65767566;0.0;3729293.770682788;0.0;0.0;10904175.341896724;-50657545.04768951;0.0;3775396.3938263906;0.0;0.0;12444367.605923409;-36958006.59987155;0.0;3575532.390314599;0.0;0.0;12311465.663290435;-16678965.7005106;0.0;3775396.3938263906;0.0;0.0;63919222.85049028;0.0;0.0;3644686.3250300037;0.0;0.0;178765760.74756595;0.0;0.0;3706242.4591109864;0.0;0.0;264905505.94777876;0.0;0.0;43767400.83190334;0.0;0.0;1319351237.0280306;-132705436.00574733
