;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W]
2023-01-01 00:00:00;0.0;1599722.868894602;0.0;0.0;231143406.19322497;0.0;44099605.99875017;32932891.448435366;44395339.8184534
2023-01-01 01:00:00;0.0;1599722.868894602;0.0;0.0;229885156.02464205;0.0;45435150.32438792;32932891.448435366;44395339.8184534
2023-01-01 02:00:00;0.0;1599722.868894602;0.0;0.0;228563817.48387563;0.0;46758624.83715427;32932891.448435366;44395339.8184534
2023-01-01 03:00:00;0.0;1599722.868894602;0.0;0.0;228277420.25507566;0.0;50654565.97766825;32932891.448435366;44395339.8184534
2023-01-01 04:00:00;0.0;1599722.868894602;0.0;0.0;227153210.74813044;0.0;51924595.83456801;32932891.448435366;44395339.8184534
2023-01-01 05:00:00;0.0;1599722.868894602;0.0;0.0;225645284.9083199;0.0;51887387.9974298;32932891.448435366;44395339.8184534
2023-01-01 06:00:00;0.0;2277099.931376951;0.0;0.0;224763193.02243707;0.0;51934447.17141664;32932891.448435366;45468905.036190465
2023-01-01 07:00:00;0.0;7981769.512407801;0.0;0.0;204323711.6214807;0.0;51934447.17141664;32932891.448435366;13572073.94394534
2023-01-01 08:00:00;0.0;8120255.17988827;0.0;0.0;201368778.0560717;0.0;49228481.16785962;32932891.448435366;13581909.55175914
2023-01-01 09:00:00;0.0;7465530.872017888;0.0;0.0;199355229.1983029;0.0;48201786.78581657;32932891.448435366;13377818.551461944
2023-01-01 10:00:00;0.0;7157566.077433321;0.0;0.0;196099333.30935636;0.0;47365110.80168889;32932891.448435366;13377818.551461944
2023-01-01 11:00:00;0.0;7515088.413253238;0.0;0.0;192926173.71773994;0.0;47183396.66956772;32932891.448435366;13717970.218623936
2023-01-01 12:00:00;0.0;7472002.439132145;0.0;0.0;192683844.98312047;0.0;46445341.06577805;32932891.448435366;11507588.295785543
2023-01-01 13:00:00;0.0;7472002.439132145;0.0;0.0;189700492.24637663;0.0;46921695.155341074;32932891.448435366;11507588.295785543
2023-01-01 14:00:00;0.0;7472002.439132145;0.0;0.0;187379088.88626325;0.0;45698360.030658565;32932891.448435366;11507588.295785543
2023-01-01 15:00:00;0.0;7157566.077433321;0.0;0.0;185892480.82138443;0.0;44369012.62342792;32932891.448435366;11507588.295785543
2023-01-01 16:00:00;0.0;7645364.853782867;0.0;0.0;183919375.86699855;0.0;43608742.797562666;32932891.448435366;11711679.29608274
2023-01-01 17:00:00;0.0;3267378.278141141;0.0;0.0;192805628.18037045;0.0;44317208.018979035;32932891.448435366;9841449.040406343
2023-01-01 18:00:00;0.0;3241526.693668486;0.0;0.0;192915324.54073215;0.0;46724953.79592819;32932891.448435366;8563792.822372165
2023-01-01 19:00:00;0.0;3417477.38788686;0.0;0.0;191602999.75490046;0.0;46765107.266291335;32932891.448435366;8553957.214558365
2023-01-01 20:00:00;0.0;3417477.38788686;0.0;0.0;191505988.27147785;0.0;46720433.97070089;32932891.448435366;8553957.214558365
2023-01-01 21:00:00;0.0;3374391.4137657657;0.0;0.0;191603281.2354296;0.0;46756617.87889682;32932891.448435366;8213805.547396376
2023-01-01 22:00:00;0.0;2376106.4224703205;0.0;0.0;193501793.73511618;0.0;49369300.47912402;32932891.448435366;8213805.547396376
2023-01-01 23:00:00;0.0;2376106.4224703205;0.0;0.0;196271205.90743008;0.0;53199528.24309692;32932891.448435366;8213805.547396376
2023-01-02 00:00:00;0.0;909086.5001450031;0.0;0.0;202267118.89920735;0.0;58148127.08572815;32932891.448435366;8213805.547396376
2023-01-02 01:00:00;0.0;909086.5001450031;0.0;0.0;203722191.70868343;0.0;59357958.87468531;32932891.448435366;8213805.547396376
2023-01-02 02:00:00;0.0;909086.5001450031;0.0;0.0;204767714.5492212;0.0;59958860.085786246;32932891.448435366;8213805.547396376
2023-01-02 03:00:00;0.0;909086.5001450031;0.0;0.0;204843070.8264737;0.0;59357958.87468531;32932891.448435366;8213805.547396376
2023-01-02 04:00:00;0.0;909086.5001450031;0.0;0.0;206377436.84684563;0.0;60557104.66709129;32932891.448435366;8213805.547396376
2023-01-02 05:00:00;0.0;909086.5001450031;0.0;0.0;207984581.04216522;0.0;61745682.9785888;32932891.448435366;8213805.547396376
2023-01-02 06:00:00;0.0;1388980.0026738571;0.0;0.0;209585357.1760264;0.0;62923811.15936035;32932891.448435366;9287370.765133372
2023-01-02 07:00:00;0.0;6791543.45173221;0.0;0.0;206230455.4150092;0.0;62336046.04615744;32932891.448435366;9627522.43229536
2023-01-02 08:00:00;0.0;6791543.45173221;0.0;0.0;190075706.224412;0.0;61151922.211563855;32932891.448435366;14303098.07148636
2023-01-02 09:00:00;0.0;6438925.275834337;0.0;0.0;185561757.1682022;0.0;55907076.41404507;32932891.448435366;14303098.07148636
2023-01-02 10:00:00;0.0;6262616.187885427;0.0;0.0;177979262.74764353;0.0;50493210.3471998;32932891.448435366;14303098.07148636
2023-01-02 11:00:00;0.0;6482011.249955432;0.0;0.0;169143355.07427582;0.0;43769849.32423192;32932891.448435366;14643249.738648353
2023-01-02 12:00:00;0.0;6464776.860306994;0.0;0.0;159318971.60277215;0.0;33997791.734465055;32932891.448435366;14507189.071783554
2023-01-02 13:00:00;0.0;6464776.860306994;0.0;0.0;152759755.80579945;0.0;26449690.99664053;32932891.448435366;12169401.252188044
2023-01-02 14:00:00;0.0;6464776.860306994;0.0;0.0;146781088.94554502;0.0;23271393.387394182;32932891.448435366;12169401.252188044
2023-01-02 15:00:00;0.0;6288467.772358083;0.0;0.0;142029019.85054034;0.0;18478709.279552933;32932891.448435366;12169401.252188044
2023-01-02 16:00:00;0.0;6552931.404281466;0.0;0.0;141893305.47225448;0.0;17655276.570462145;32932891.448435366;12169401.252188044
2023-01-02 17:00:00;0.0;1898690.2811399142;0.0;0.0;143614765.30709368;0.0;20691450.331257716;32932891.448435366;12169401.252188044
2023-01-02 18:00:00;0.0;1872838.6966672575;0.0;0.0;153239589.92403418;0.0;26835408.87142773;32932891.448435366;8553957.214558365
2023-01-02 19:00:00;0.0;2049147.784616178;0.0;0.0;154585974.4553308;0.0;30055704.47950277;32932891.448435366;8553957.214558365
2023-01-02 20:00:00;0.0;2049147.784616178;0.0;0.0;155863957.88597757;0.0;30668046.21783707;32932891.448435366;8553957.214558365
2023-01-02 21:00:00;0.0;2006061.810495084;0.0;0.0;156919046.2293198;0.0;31432924.42624395;32932891.448435366;8213805.547396376
2023-01-02 22:00:00;0.0;1349859.2200173095;0.0;0.0;159155603.05485022;0.0;35839353.83591341;32932891.448435366;8213805.547396376
2023-01-02 23:00:00;0.0;1349859.2200173095;0.0;0.0;162319826.12694356;0.0;44606509.30910597;32932891.448435366;8213805.547396376
2023-01-03 00:00:00;0.0;909086.5001450031;0.0;0.0;166045870.61649847;0.0;55069118.52910848;32932891.448435366;8213805.547396376
2023-01-03 01:00:00;0.0;909086.5001450031;0.0;0.0;169801789.54755357;0.0;59984512.19497152;32932891.448435366;8213805.547396376
2023-01-03 02:00:00;0.0;909086.5001450031;0.0;0.0;174332641.2402863;0.0;63225848.919643;32932891.448435366;8213805.547396376
2023-01-03 03:00:00;0.0;909086.5001450031;0.0;0.0;179150780.92274404;0.0;65145545.2450292;32932891.448435366;8213805.547396376
2023-01-03 04:00:00;0.0;909086.5001450031;0.0;0.0;182734484.63363823;0.0;66099882.85978222;32932891.448435366;8213805.547396376
2023-01-03 05:00:00;0.0;909086.5001450031;0.0;0.0;185443469.82190755;0.0;65981300.688550755;32932891.448435366;8213805.547396376
2023-01-03 06:00:00;0.0;1388980.0026738571;0.0;0.0;187098894.35238394;0.0;64156705.88392217;32932891.448435366;9287370.765133372
2023-01-03 07:00:00;0.0;6791543.45173221;0.0;0.0;185185335.77143934;0.0;64764953.57106769;32932891.448435366;9627522.43229536
2023-01-03 08:00:00;0.0;6791543.45173221;0.0;0.0;174236919.06230807;0.0;67195806.00104104;32932891.448435366;14303098.07148636
2023-01-03 09:00:00;0.0;6438925.275834337;0.0;0.0;173616416.85689002;0.0;65394721.84635923;32932891.448435366;14303098.07148636
2023-01-03 10:00:00;0.0;6262616.187885427;0.0;0.0;173500865.59520411;0.0;64905987.57502503;32932891.448435366;14303098.07148636
2023-01-03 11:00:00;0.0;6482011.249955432;0.0;0.0;173127240.54966223;0.0;62799821.39265727;32932891.448435366;14643249.738648353
2023-01-03 12:00:00;0.0;6464776.860306994;0.0;0.0;173284965.98737064;0.0;60103458.17253992;32932891.448435366;14507189.071783554
2023-01-03 13:00:00;0.0;6464776.860306994;0.0;0.0;173109720.7747046;0.0;59471228.89961804;32932891.448435366;12169401.252188044
2023-01-03 14:00:00;0.0;6464776.860306994;0.0;0.0;172203666.95869222;0.0;63064477.67682865;32932891.448435366;12169401.252188044
2023-01-03 15:00:00;0.0;6288467.772358083;0.0;0.0;171191043.7380981;0.0;65151693.75183396;32932891.448435366;12169401.252188044
2023-01-03 16:00:00;0.0;6552931.404281466;0.0;0.0;171754102.662895;0.0;65305206.04437815;32932891.448435366;12169401.252188044
