;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W]
2023-01-01 00:00:00;0.0;22302.984115690873;0.0;0.0;2343979.5920324954;0.0;239225.30708704115;173979.01903361312;38337.989132771756
2023-01-01 01:00:00;0.0;22302.984115690873;0.0;0.0;2332121.3645899487;0.0;246279.7728424747;173979.01903361312;38491.34108930285
2023-01-01 02:00:00;0.0;22302.984115690873;0.0;0.0;2320709.95751451;0.0;253270.48798972904;173979.01903361312;38644.69304583393
2023-01-01 03:00:00;0.0;22302.984115690873;0.0;0.0;2323311.108794729;0.0;273848.8601372065;173979.01903361312;73378.91120012513
2023-01-01 04:00:00;0.0;22302.984115690873;0.0;0.0;2315104.3894439093;0.0;280557.2902096931;173979.01903361312;75449.16261329477
2023-01-01 05:00:00;0.0;22302.984115690873;0.0;0.0;2301886.264396646;0.0;280360.9506398469;173979.01903361312;79896.3693526963
2023-01-01 06:00:00;0.0;28993.87935039814;0.0;0.0;2299100.2024457897;0.0;280609.69362821645;173979.01903361312;94537.45370757012
2023-01-01 07:00:00;0.0;52125.95190292446;0.0;0.0;2226105.76765516;0.0;280609.69362821645;173979.01903361312;110451.44226562594
2023-01-01 08:00:00;0.0;52125.95190292446;0.0;0.0;2195330.2022433737;0.0;265897.94554170634;173979.01903361312;110911.4981352192
2023-01-01 09:00:00;0.0;43204.75825664814;0.0;0.0;2175465.221232965;0.0;260707.17203477945;173979.01903361312;111294.8780265469
2023-01-01 10:00:00;0.0;38744.16143350995;0.0;0.0;2139574.494740913;0.0;256464.46589000424;173979.01903361312;111448.229983078
2023-01-01 11:00:00;0.0;43204.75825664814;0.0;0.0;2106336.7693010857;0.0;255667.39433148273;173979.01903361312;111371.55400481245
2023-01-01 12:00:00;0.0;43204.75825664814;0.0;0.0;2076468.529754413;0.0;251929.9536042187;173979.01903361312;104181.31950843998
2023-01-01 13:00:00;0.0;43204.75825664814;0.0;0.0;2043123.0662672045;0.0;253727.64783890665;173979.01903361312;104411.34744323666
2023-01-01 14:00:00;0.0;43204.75825664814;0.0;0.0;2019139.1980433313;0.0;247157.8735866599;173979.01903361312;104181.31950843998
2023-01-01 15:00:00;0.0;38744.16143350995;0.0;0.0;2005763.2954087742;0.0;240081.71627037422;173979.01903361312;104334.67146497112
2023-01-01 16:00:00;0.0;45435.056668217214;0.0;0.0;1984860.869738298;0.0;236038.65268390617;173979.01903361312;104257.99548670552
2023-01-01 17:00:00;0.0;40145.37140824358;0.0;0.0;1992166.0420458585;0.0;239768.83256687797;173979.01903361312;96991.0850120675
2023-01-01 18:00:00;0.0;40145.37140824358;0.0;0.0;1992075.7843859345;0.0;253358.13812729175;173979.01903361312;87027.2353313919
2023-01-01 19:00:00;0.0;44605.96823138175;0.0;0.0;1972535.4609134614;0.0;253358.13812729175;173979.01903361312;86873.8833748608
2023-01-01 20:00:00;0.0;44605.96823138175;0.0;0.0;1971674.0327327924;0.0;253078.90828395466;173979.01903361312;86030.44761393982
2023-01-01 21:00:00;0.0;44605.96823138175;0.0;0.0;1971708.9178585145;0.0;253270.48798972904;173979.01903361312;84496.92804862895
