Heating system gas consumption [Nm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system DH consumption [Wh];Heating system electric consumption [Wh];Cooling system electric consumption [Wh];AHU electric consumption [Wh];Appliances electric consumption [Wh];TZ Ta [°C];TZ To [°C];TZ Tmr [°C];TZ RH [-];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ AHU electric load [W];TZ DHW volume flow rate [L/s];TZ DHW demand [W]
Bd Bd Building 0018300014;Bd Bd Building 0018300014;Bd Bd Building 0018300014;Bd Bd Building 0018300014;Bd Bd Building 0018300014;Bd Bd Building 0018300014;Bd Bd Building 0018300014;Bd Bd Building 0018300014;Bd Bd Building 0018300014;Bd Building 0018300014 thermal zone;Bd Building 0018300014 thermal zone;Bd Building 0018300014 thermal zone;Bd Building 0018300014 thermal zone;Bd Building 0018300014 thermal zone;Bd Building 0018300014 thermal zone;Bd Building 0018300014 thermal zone;Bd Building 0018300014 thermal zone;Bd Building 0018300014 thermal zone;Bd Building 0018300014 thermal zone;Bd Building 0018300014 thermal zone
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;191.58;20.00;18.94;17.88;0.32;28222.04;0.00;0.00;0.00;0.00;0.00;456.55
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;191.58;20.00;18.96;17.93;0.38;27947.44;0.00;0.00;0.00;0.00;0.00;458.38
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;191.58;20.00;18.98;17.97;0.41;27703.94;0.00;0.00;0.00;0.00;0.00;460.20
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;191.58;20.00;19.00;18.01;0.41;27642.86;0.00;0.00;0.00;0.00;0.01;873.84
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;191.58;20.00;19.02;18.04;0.40;27478.71;0.00;0.00;0.00;0.00;0.01;898.49
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;191.58;20.00;19.04;18.07;0.40;27271.36;0.00;0.00;0.00;0.00;0.01;951.45
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;249.05;20.00;19.05;18.10;0.40;27167.37;0.00;0.00;0.00;0.00;0.01;1006.24
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;325.68;20.00;19.06;18.13;0.40;26866.15;0.00;0.00;0.00;0.00;0.01;1022.67
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;325.68;20.00;19.08;18.16;0.41;26434.94;0.00;0.00;0.00;0.00;0.01;1028.15
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;249.05;20.00;19.10;18.21;0.40;26034.57;0.00;0.00;0.00;0.00;0.01;1032.72
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;210.74;20.00;19.13;18.25;0.40;25498.34;0.00;0.00;0.00;0.00;0.01;1034.54
